"enrollee_id","city","city_development_index","gender","relevent_experience","enrolled_university","education_level","major_discipline","experience","company_size","company_type","last_new_job","training_hours","target"
7364,"160",0.92,"M","N","Full-Time","High School","None","2","100-500","Pvt Ltd","1",142,"0"
11184,"74",0.579,"M","N","Full-Time","Graduate","STEM","2","100-500","Pvt Ltd","1",34,"0"
7016,"65",0.802,"M","Y","None","Graduate","STEM","6","50-99","Pvt Ltd","2",14,"1"
8695,"11",0.55,"M","Y","None","Graduate","STEM","6","10-49","Pvt Ltd","2",27,"1"
6172,"11",0.55,"M","Y","None","Graduate","STEM","8","100-500","Pvt Ltd","1",24,"1"
14672,"173",0.878,"M","N","None","Masters","STEM",">20","100-500","Pvt Ltd","1",150,"0"
18257,"103",0.92,"F","Y","None","Graduate","STEM","11","500-999","NGO",">4",20,"0"
24493,"103",0.92,"M","Y","None","Graduate","STEM","5","500-999","Pvt Ltd","1",140,"0"
1180,"16",0.91,"M","Y","None","Graduate","STEM","12","5000-9999","Pvt Ltd","1",52,"0"
28627,"75",0.939,"M","Y","None","Graduate","STEM",">20","50-99","Pvt Ltd","2",160,"0"
8168,"136",0.897,"M","Y","None","Masters","STEM","9","5000-9999","Pvt Ltd","2",3,"0"
10473,"21",0.624,"M","Y","None","Graduate","STEM","2","<10","Pvt Ltd","2",2,"1"
25349,"16",0.91,"M","Y","None","Graduate","STEM",">20","1000-4999","Pvt Ltd",">4",28,"0"
5220,"73",0.754,"M","Y","None","Graduate","Other",">20","100-500","Pvt Ltd","4",46,"0"
4789,"67",0.855,"M","Y","None","Graduate","STEM","8","50-99","Pvt Ltd","1",210,"0"
11338,"114",0.926,"M","Y","None","Graduate","STEM","10","<10","Pvt Ltd","1",36,"0"
27963,"98",0.949,"M","N","Full-Time","Graduate","STEM","4","50-99","Pvt Ltd","1",160,"1"
8571,"21",0.624,"M","Y","Full-Time","Graduate","STEM","2","10-49","NGO","2",101,"0"
16303,"114",0.926,"M","Y","None","Masters","STEM","6","50-99","Pvt Ltd","1",46,"0"
20576,"97",0.925,"M","Y","None","Graduate","STEM",">20","1000-4999","Pvt Ltd",">4",19,"0"
32966,"21",0.624,"M","Y","None","Graduate","STEM","3","100-500","Pvt Ltd","2",26,"1"
21199,"90",0.698,"M","Y","Full-Time","Graduate","STEM","7","<10","NGO","1",90,"0"
18819,"50",0.896,"M","Y","None","Graduate","STEM","9","<10","Pvt Ltd","4",59,"0"
14199,"160",0.92,"M","Y","Part-Time","Graduate","Business","10","50-99","Funded Startup","1",260,"0"
7666,"21",0.624,"F","Y","None","Graduate","STEM","11","50-99","Pvt Ltd",">4",74,"0"
13915,"16",0.91,"M","Y","None","Phd","STEM",">20","100-500","Pvt Ltd","2",20,"1"
10555,"173",0.878,"M","Y","None","Graduate","STEM","12","100-500","Pvt Ltd","2",8,"0"
16040,"103",0.92,"M","Y","None","Graduate","STEM","6","100-500","Pvt Ltd","1",131,"0"
32826,"138",0.836,"M","Y","Full-Time","Masters","STEM","7","50-99","Pvt Ltd","1",45,"0"
13253,"82",0.693,"M","Y","Full-Time","Graduate","STEM","11","10-49","Pvt Ltd","2",109,"0"
15637,"67",0.855,"M","Y","None","Graduate","Humanities","3","100-500","Pvt Ltd","1",70,"0"
28074,"103",0.92,"F","Y","None","Graduate","STEM",">20","100-500","NGO",">4",17,"0"
23012,"103",0.92,"F","N","None","Masters","STEM","15","50-99","Pvt Ltd","1",51,"0"
16110,"103",0.92,"F","Y","None","Graduate","STEM","6","50-99","Pvt Ltd","3",60,"1"
3921,"36",0.893,"M","N","None","Phd","STEM",">20","1000-4999","Public Sector",">4",4,"0"
24530,"114",0.926,"M","N","None","Graduate","STEM","12","100-500","Pvt Ltd",">4",7,"0"
1924,"102",0.804,"M","Y","None","Masters","STEM",">20","100-500","Pvt Ltd","3",164,"0"
32776,"64",0.666,"M","Y","None","Graduate","STEM","20","100-500","Pvt Ltd","4",290,"0"
1907,"102",0.804,"M","N","None","High School","None","2","<10","NGO","never",145,"0"
3116,"21",0.624,"M","N","None","Graduate","STEM","3","50-99","Pvt Ltd","1",24,"0"
24829,"103",0.92,"M","N","None","Masters","Humanities","3","10000+","Pvt Ltd","1",133,"1"
30488,"11",0.55,"M","N","Full-Time","Graduate","STEM","2","50-99","Pvt Ltd","1",20,"0"
1265,"103",0.92,"M","Y","None","Graduate","STEM","10","<10","Funded Startup","1",76,"0"
22098,"90",0.698,"F","N","Full-Time","Masters","STEM","5","50-99","Pvt Ltd","4",21,"1"
13342,"21",0.624,"F","Y","None","Graduate","Other","8","5000-9999","Pvt Ltd","2",34,"0"
24608,"160",0.92,"M","N","None","Graduate","STEM","9","<10","Pvt Ltd","2",15,"0"
20081,"57",0.866,"M","N","None","Graduate","STEM",">20","100-500","Pvt Ltd",">4",156,"0"
24796,"103",0.92,"M","Y","None","Graduate","STEM",">20","5000-9999","Pvt Ltd",">4",15,"0"
7777,"114",0.926,"M","Y","None","Masters","STEM",">20","100-500","Pvt Ltd","never",120,"0"
22718,"157",0.769,"M","Y","None","Graduate","None","14","10000+","Pvt Ltd",">4",47,"0"
1261,"73",0.754,"M","Y","None","Graduate","STEM","12","50-99","Pvt Ltd","2",100,"1"
3396,"67",0.855,"M","Y","Part-Time","Graduate","STEM","6","500-999","Pvt Ltd","never",102,"0"
4283,"103",0.92,"M","N","None","High School","None","4","100-500","Pvt Ltd","never",52,"0"
18998,"114",0.926,"M","Y","None","High School","None","9","10-49","Pvt Ltd","4",39,"0"
2003,"103",0.92,"M","Y","Full-Time","High School","None","4","50-99","Pvt Ltd","1",112,"1"
31786,"103",0.92,"M","N","None","Phd","STEM",">20","50-99","Pvt Ltd",">4",14,"0"
12154,"16",0.91,"M","Y","None","Masters","Arts",">20","1000-4999","NGO",">4",55,"0"
23455,"21",0.624,"M","Y","None","Graduate","STEM","6","10000+","Pvt Ltd","4",49,"1"
19882,"16",0.91,"M","Y","None","Graduate","STEM","15","100-500","Pvt Ltd",">4",72,"0"
28817,"89",0.925,"M","Y","Full-Time","Graduate","STEM","14","5000-9999","Pvt Ltd","3",141,"1"
4656,"114",0.926,"M","N","None","High School","None","6","50-99","Pvt Ltd","never",28,"0"
7280,"103",0.92,"M","Y","None","Graduate","STEM","13","10000+","Pvt Ltd","1",6,"0"
16903,"103",0.92,"M","Y","None","Graduate","None","17","5000-9999","Pvt Ltd","1",125,"0"
13333,"75",0.939,"M","Y","None","Graduate","STEM",">20","100-500","Pvt Ltd","never",326,"0"
26241,"103",0.92,"M","Y","None","Graduate","Other",">20","100-500","Pvt Ltd","2",33,"0"
12381,"102",0.804,"M","N","None","Masters","STEM","6","10000+","Pvt Ltd",">4",40,"0"
4064,"160",0.92,"M","Y","None","Graduate","STEM","18","50-99","Pvt Ltd","1",198,"1"
32092,"103",0.92,"F","Y","None","Masters","STEM","15","10000+","Pvt Ltd",">4",55,"0"
3766,"150",0.698,"M","N","None","Graduate","STEM",">20","500-999","Pvt Ltd",">4",32,"0"
30496,"103",0.92,"M","Y","None","Graduate","Arts",">20","100-500","Pvt Ltd",">4",11,"0"
7189,"73",0.754,"M","Y","None","Graduate","STEM",">20","<10","Pvt Ltd","1",41,"0"
29497,"103",0.92,"M","Y","None","Masters","STEM",">20","10000+","Public Sector",">4",87,"1"
31593,"67",0.855,"M","Y","None","Masters","STEM","10","100-500","Pvt Ltd","4",114,"0"
11986,"90",0.698,"M","Y","Part-Time","Masters","STEM","5","<10","Early Stage Startup","1",15,"0"
31033,"16",0.91,"M","N","Full-Time","High School","None","3","100-500","Pvt Ltd","1",8,"0"
14835,"173",0.878,"F","Y","Part-Time","High School","None","2","100-500","NGO","1",22,"0"
3728,"103",0.92,"M","Y","None","Masters","STEM",">20","5000-9999","Pvt Ltd","4",13,"0"
3024,"98",0.949,"M","Y","None","Graduate","STEM",">20","<10","Public Sector","1",246,"0"
23508,"103",0.92,"M","Y","None","Masters","STEM","9","10-49","Pvt Ltd","1",22,"0"
29457,"103",0.92,"M","Y","None","Masters","STEM",">20","<10","Funded Startup","1",81,"0"
12297,"175",0.776,"M","Y","Full-Time","Graduate","STEM","4","10-49","Funded Startup","1",11,"0"
27708,"94",0.698,"M","N","Full-Time","Graduate","STEM","5","5000-9999","Pvt Ltd","never",24,"1"
3065,"103",0.92,"M","Y","None","Graduate","STEM",">20","100-500","Funded Startup","1",50,"0"
29226,"104",0.924,"M","N","Full-Time","High School","None","6","100-500","Pvt Ltd","never",15,"0"
5493,"28",0.939,"M","Y","None","Masters","STEM",">20","10-49","Pvt Ltd",">4",31,"0"
2891,"114",0.926,"M","Y","None","Masters","STEM",">20","50-99","Pvt Ltd","never",84,"0"
32509,"136",0.897,"M","Y","Part-Time","Graduate","STEM","4","10000+","Pvt Ltd","1",42,"0"
31841,"21",0.624,"M","Y","None","Graduate","STEM","10","10-49","Pvt Ltd",">4",105,"1"
907,"103",0.92,"F","Y","None","Graduate","STEM",">20","50-99","Pvt Ltd",">4",72,"0"
29526,"115",0.789,"M","Y","None","Graduate","STEM","14","10-49","Pvt Ltd",">4",42,"1"
10956,"94",0.698,"M","Y","None","Graduate","STEM","15","50-99","Early Stage Startup","1",152,"0"
26099,"103",0.92,"M","Y","None","Graduate","STEM","12","10000+","Pvt Ltd","1",60,"0"
26163,"21",0.624,"M","N","Full-Time","Masters","STEM","2","50-99","Pvt Ltd","never",8,"0"
4120,"16",0.91,"M","N","Full-Time","Masters","STEM","13","100-500","Pvt Ltd","3",17,"1"
7335,"83",0.923,"M","N","None","High School","None","1","50-99","Pvt Ltd","1",33,"0"
706,"16",0.91,"M","Y","None","Masters","STEM","4","100-500","Funded Startup","never",38,"0"
9890,"103",0.92,"M","Y","None","Graduate","Humanities","14","<10","Early Stage Startup","2",178,"0"
32683,"160",0.92,"M","Y","None","Graduate","STEM","15","50-99","Pvt Ltd","1",11,"0"
27104,"36",0.893,"M","Y","None","High School","None",">20","100-500","Pvt Ltd","never",87,"0"
7731,"65",0.802,"M","Y","None","Graduate","STEM","13","100-500","Pvt Ltd","never",84,"0"
31943,"71",0.884,"M","Y","None","Graduate","STEM",">20","100-500","Early Stage Startup","2",32,"0"
22899,"100",0.887,"M","Y","None","Masters","STEM","9","100-500","Pvt Ltd","1",31,"1"
33339,"21",0.624,"M","N","None","Graduate","STEM","2","500-999","Public Sector","1",39,"0"
20866,"59",0.775,"M","Y","None","Graduate","STEM","7","10-49","Pvt Ltd","1",12,"0"
21634,"21",0.624,"M","Y","Full-Time","Graduate","STEM","5","10000+","Pvt Ltd","1",50,"0"
29529,"165",0.903,"M","Y","None","Graduate","STEM","3","100-500","Pvt Ltd","1",55,"1"
4478,"11",0.55,"M","Y","None","Graduate","STEM","5","50-99","Pvt Ltd","1",7,"1"
32095,"103",0.92,"M","Y","None","Masters","Humanities","2","50-99","Early Stage Startup","1",104,"0"
18272,"160",0.92,"M","Y","Full-Time","Graduate","Business",">20","100-500","Pvt Ltd",">4",90,"1"
30098,"103",0.92,"M","Y","None","Masters","Other",">20","100-500","Pvt Ltd",">4",8,"0"
23825,"21",0.624,"M","N","Full-Time","Graduate","STEM","2","100-500","Pvt Ltd","never",102,"0"
7672,"21",0.624,"M","Y","None","Masters","STEM","<1","10-49","Pvt Ltd","1",202,"1"
5633,"145",0.555,"M","Y","None","Graduate","STEM","4","100-500","Pvt Ltd","1",22,"0"
30695,"21",0.624,"M","N","Full-Time","Graduate","STEM","3","100-500","Pvt Ltd","never",42,"0"
5573,"160",0.92,"M","N","None","Primary School","None","4","50-99","Pvt Ltd","never",50,"0"
24936,"21",0.624,"M","Y","None","Masters","STEM","3","50-99","Funded Startup","1",88,"0"
397,"73",0.754,"M","Y","None","Graduate","STEM","5","1000-4999","Pvt Ltd","4",81,"0"
31602,"103",0.92,"M","Y","None","Masters","STEM",">20","10000+","Pvt Ltd","1",7,"0"
5278,"21",0.624,"M","N","None","Graduate","STEM","3","100-500","Pvt Ltd","never",218,"0"
16814,"16",0.91,"M","Y","None","Graduate","STEM",">20","10000+","Pvt Ltd",">4",62,"0"
19249,"103",0.92,"M","Y","None","Graduate","STEM","6","50-99","Pvt Ltd","1",83,"0"
9475,"28",0.939,"M","Y","None","Graduate","STEM","9","1000-4999","Pvt Ltd",">4",11,"0"
4865,"114",0.926,"M","N","Part-Time","Phd","STEM",">20","50-99","Pvt Ltd",">4",10,"0"
20881,"28",0.939,"M","Y","None","Masters","STEM","10","1000-4999","Pvt Ltd","1",114,"0"
21563,"21",0.624,"M","Y","None","Masters","STEM","3","50-99","Pvt Ltd","1",36,"0"
25114,"102",0.804,"M","N","None","Masters","STEM","6","10-49","Pvt Ltd","1",17,"0"
26002,"16",0.91,"M","N","Full-Time","Graduate","STEM","2","100-500","Pvt Ltd","never",80,"1"
8528,"160",0.92,"M","Y","Part-Time","Graduate","STEM",">20","50-99","Public Sector",">4",108,"0"
6141,"103",0.92,"M","Y","None","Graduate","STEM","2","100-500","Pvt Ltd","2",45,"0"
27667,"103",0.92,"M","N","Full-Time","Graduate","STEM","5","100-500","Pvt Ltd","never",77,"0"
2821,"114",0.926,"M","Y","None","Masters","STEM","15","100-500","Pvt Ltd","2",8,"0"
21216,"173",0.878,"M","N","None","Graduate","STEM","5","100-500","Pvt Ltd","1",28,"0"
25495,"142",0.727,"F","Y","None","Graduate","STEM","9","100-500","Funded Startup",">4",37,"0"
20791,"16",0.91,"M","N","Full-Time","Graduate","STEM","2","100-500","Pvt Ltd","2",108,"1"
28015,"103",0.92,"M","Y","None","Graduate","STEM","13","500-999","Pvt Ltd","2",162,"0"
10685,"73",0.754,"M","Y","Full-Time","High School","None","9","50-99","Pvt Ltd",">4",41,"0"
405,"165",0.903,"M","Y","None","Masters","STEM","19","100-500","Pvt Ltd","4",4,"0"
13891,"71",0.884,"F","N","None","Phd","STEM","3","1000-4999","Public Sector","1",41,"0"
33050,"165",0.903,"M","Y","None","Graduate","STEM","17","10000+","Pvt Ltd","2",12,"0"
399,"103",0.92,"M","Y","None","Graduate","STEM",">20","50-99","Pvt Ltd","1",190,"0"
8202,"21",0.624,"M","Y","None","Graduate","STEM","7","50-99","Pvt Ltd",">4",29,"1"
8751,"103",0.92,"M","Y","None","Graduate","STEM","6","100-500","Public Sector","1",11,"0"
20744,"103",0.92,"M","N","Full-Time","High School","None","3","10000+","Pvt Ltd","1",30,"0"
25380,"103",0.92,"M","Y","None","Masters","STEM","13","100-500","Pvt Ltd",">4",39,"0"
24617,"102",0.804,"M","Y","Full-Time","High School","None","9","50-99","Pvt Ltd","1",16,"0"
12509,"114",0.926,"M","N","None","Graduate","STEM",">20","50-99","Pvt Ltd",">4",5,"0"
25473,"26",0.698,"M","N","Full-Time","High School","None","8","100-500","Pvt Ltd","never",39,"0"
13083,"114",0.926,"M","Y","None","Masters","STEM","10","50-99","Pvt Ltd",">4",29,"0"
12454,"21",0.624,"M","Y","Full-Time","Masters","STEM","4","50-99","NGO","2",210,"0"
3500,"103",0.92,"Other","N","Part-Time","High School","None","6","50-99","Funded Startup","1",54,"0"
15922,"160",0.92,"M","Y","None","Graduate","STEM","9","50-99","Pvt Ltd","3",44,"0"
6685,"16",0.91,"M","Y","None","Graduate","STEM","15","100-500","Pvt Ltd",">4",47,"0"
28838,"103",0.92,"M","Y","None","Graduate","STEM",">20","1000-4999","NGO",">4",74,"0"
24082,"21",0.624,"M","Y","None","Masters","STEM","6","10-49","Pvt Ltd","1",8,"1"
24846,"21",0.624,"M","N","Full-Time","Graduate","STEM","7","50-99","Pvt Ltd","never",20,"1"
1020,"103",0.92,"M","Y","None","Graduate","STEM","3","500-999","Pvt Ltd","1",162,"0"
6189,"36",0.893,"M","N","None","Graduate","Business","2","50-99","Pvt Ltd","1",110,"0"
16994,"46",0.762,"Other","Y","Part-Time","High School","None","3","10-49","Pvt Ltd","1",262,"0"
13135,"138",0.836,"M","Y","None","Masters","STEM","14","100-500","Pvt Ltd","1",6,"0"
14578,"64",0.666,"M","Y","Part-Time","Graduate","STEM","9","10-49","Pvt Ltd","1",19,"1"
20732,"64",0.666,"Other","N","None","Graduate","STEM",">20","50-99","Pvt Ltd",">4",23,"1"
16496,"21",0.624,"M","N","Full-Time","Graduate","STEM","<1","50-99","Pvt Ltd","1",107,"1"
16537,"136",0.897,"M","Y","None","Masters","STEM","15","10000+","Pvt Ltd",">4",134,"0"
17358,"114",0.926,"M","Y","None","Masters","STEM","11","10-49","Early Stage Startup","1",40,"0"
21933,"71",0.884,"M","Y","None","Graduate","STEM","12","50-99","Pvt Ltd","1",11,"0"
7342,"160",0.92,"M","Y","None","Graduate","STEM","11","50-99","Pvt Ltd","3",102,"0"
5630,"21",0.624,"M","N","Full-Time","Graduate","STEM","2","50-99","Pvt Ltd","never",100,"0"
24152,"83",0.923,"M","N","None","Masters","STEM","3","10000+","Pvt Ltd","never",30,"0"
17762,"103",0.92,"M","N","None","High School","None","5","50-99","Pvt Ltd","1",20,"1"
4310,"103",0.92,"M","Y","None","Graduate","STEM","14","1000-4999","Pvt Ltd","3",4,"0"
5142,"16",0.91,"M","N","None","Primary School","None","5","50-99","Pvt Ltd","never",15,"0"
22319,"21",0.624,"M","N","None","Graduate","STEM","<1","50-99","Pvt Ltd","1",14,"1"
30912,"83",0.923,"M","N","None","Primary School","None","1","50-99","Pvt Ltd","never",103,"0"
20976,"160",0.92,"M","Y","Part-Time","Graduate","STEM","5","1000-4999","Public Sector","2",40,"0"
13150,"16",0.91,"M","Y","None","Phd","STEM",">20","100-500","Pvt Ltd","2",27,"0"
12206,"114",0.926,"M","N","None","High School","None","10","100-500","Pvt Ltd",">4",46,"0"
9407,"114",0.926,"M","Y","None","High School","None","7","50-99","Pvt Ltd",">4",110,"0"
13152,"103",0.92,"M","Y","None","Graduate","STEM","13","50-99","Funded Startup","1",96,"0"
1069,"103",0.92,"M","Y","None","Graduate","STEM","5","10000+","Pvt Ltd","2",57,"0"
25418,"160",0.92,"M","Y","Full-Time","Graduate","STEM","6","100-500","Pvt Ltd","1",240,"0"
22689,"98",0.949,"M","Y","None","Graduate","STEM","4","50-99","Funded Startup","4",42,"0"
5104,"75",0.939,"M","Y","None","Masters","STEM","7","100-500","Pvt Ltd","1",16,"1"
