"","enrollee_id","city","city_development_index","gender_M","gender_F","relevent_experience_Y","enrolled_university_None","enrolled_university_FullTime","education_level","major_discipline_Arts","major_discipline_Humanities","major_discipline_Business","major_discipline_STEM","major_discipline_Other","experience","company_size","company_type_FundedStartup","company_type_EarlyStageStartup","company_type_PvtLtd","company_type_PublicSector","company_type_NGO","last_new_job","training_hours","target"
"24",22767,0.59053343350864,0.624,1,0,1,1,0,2,0,0,0,1,0,5,5,0,0,1,0,0,1,13,0
"25",14505,0.132558139534884,0.855,1,0,0,1,0,1,0,0,0,0,0,4,3,0,0,1,0,0,0,22,0
"26",17139,0.59053343350864,0.624,1,0,1,0,0,2,0,0,0,1,0,14,4,0,0,1,0,0,1,148,1
"27",28476,0.214401481824496,0.92,1,0,1,1,0,2,1,0,0,0,0,5,3,0,0,0,0,0,2,72,0
"28",21538,0.235294117647059,0.887,1,0,1,1,0,1,0,0,0,0,0,11,0,0,0,1,0,0,1,8,1
"29",10408,0.59053343350864,0.624,1,0,1,1,0,2,0,0,0,1,0,18,2,1,0,0,0,0,2,68,1
"30",14928,0.214401481824496,0.92,1,0,1,1,0,2,0,0,0,1,0,21,3,0,0,1,0,0,3,40,0
"31",22293,0.214401481824496,0.92,1,0,1,0,0,2,0,0,0,1,0,19,6,0,0,1,0,0,5,141,0
"32",4324,0.214401481824496,0.92,0,1,0,0,1,2,0,0,0,1,0,5,3,0,0,0,0,0,1,24,0
"33",26966,0.234803337306317,0.92,0,1,1,1,0,2,0,0,0,1,0,21,3,0,0,1,0,0,5,82,0
"34",26494,0.117259552042161,0.91,1,0,1,1,0,2,0,0,1,0,0,12,6,0,0,1,0,0,3,145,0
"35",4866,0.214401481824496,0.92,1,0,1,1,0,2,0,0,0,1,0,10,1,0,1,0,0,0,2,206,0
"36",12726,0.100226073850791,0.926,1,0,0,0,0,1,0,0,0,0,0,1,7,0,0,0,0,0,1,152,0
"37",10164,0.100226073850791,0.926,1,0,1,1,0,4,0,0,0,1,0,21,3,0,0,1,0,0,4,42,1
"38",8612,0.214401481824496,0.92,1,0,0,1,0,2,0,0,0,1,0,12,3,0,0,0,0,0,4,50,0
"39",24659,0.14828897338403,0.884,1,0,0,1,0,1,0,0,0,0,0,3,3,0,0,1,0,0,0,106,0
"40",2547,0.100226073850791,0.926,0,1,1,0,1,3,0,0,0,1,0,16,5,0,0,0,1,0,2,14,0
"41",13854,0.0945945945945946,0.924,1,0,1,1,0,1,0,0,0,0,0,4,1,0,0,1,0,0,2,36,0
"42",31654,0.59053343350864,0.624,1,0,1,1,0,3,0,0,0,1,0,6,2,0,1,0,0,0,1,112,1
"43",13643,0.140350877192982,0.666,1,0,0,1,0,2,0,0,0,0,0,9,2,0,0,1,0,0,0,108,0
"44",5590,0.59053343350864,0.624,1,0,1,0,0,3,0,0,0,1,0,9,6,0,0,1,0,0,3,7,1
"45",22452,0.59053343350864,0.624,0,1,0,0,1,3,0,0,0,1,0,5,2,0,0,0,0,0,0,26,1
"46",9006,0.59053343350864,0.624,1,0,1,1,0,2,0,0,0,1,0,5,3,0,0,1,0,0,0,87,1
"47",25987,0.214401481824496,0.92,0,0,1,1,0,2,0,0,0,1,0,19,7,0,0,0,1,0,4,52,1
"48",4476,0.573333333333333,0.558,1,0,1,1,0,2,0,0,0,0,0,15,2,0,0,1,0,0,5,20,1
"49",25103,0.160839160839161,0.923,1,0,1,1,0,2,0,0,0,1,0,11,1,0,0,1,0,0,1,21,0
"50",5568,0.573333333333333,0.558,1,0,0,1,0,2,0,0,0,1,0,4,2,0,0,0,0,0,1,92,1
"51",2195,0.140350877192982,0.666,1,0,1,1,0,2,0,0,0,1,0,10,3,0,0,1,0,0,2,102,0
"52",30533,0.115384615384615,0.794,1,0,0,1,0,2,0,1,0,0,0,5,7,0,0,1,0,0,5,26,0
"53",28512,0.0945945945945946,0.924,1,0,1,1,0,3,0,0,0,1,0,3,0,0,1,0,0,0,2,7,0
"54",1023,0.100226073850791,0.926,1,0,0,0,1,1,0,0,0,0,0,4,7,0,0,1,0,0,1,43,0
"55",12253,0.0945945945945946,0.924,1,0,1,1,0,2,0,0,0,1,0,21,3,0,0,1,0,0,1,45,0
"56",25296,0.264285714285714,0.754,1,0,1,0,1,2,0,0,0,1,0,2,2,0,1,0,0,0,2,52,0
"57",13238,0.214401481824496,0.92,1,0,1,1,0,2,0,0,0,1,0,21,3,0,0,0,0,0,2,19,0
"58",13478,0.59053343350864,0.624,1,0,1,0,1,2,0,0,0,1,0,2,1,1,0,0,0,0,1,32,1
"59",18578,0.284552845528455,0.767,1,0,1,1,0,2,0,1,0,0,0,21,3,0,0,1,0,0,5,26,1
"60",29975,0.132558139534884,0.855,1,0,1,0,0,2,0,0,0,1,0,6,2,0,0,1,0,0,1,90,0
"61",26516,0.102310231023102,0.939,1,0,1,1,0,2,0,0,0,1,0,6,3,0,0,1,0,0,3,25,0
"62",24690,0.204545454545455,0.827,1,0,1,0,0,3,0,0,0,1,0,13,0,0,0,0,0,0,1,15,0
"63",8433,0.235294117647059,0.887,1,0,1,1,0,3,0,1,0,0,0,21,3,0,0,1,0,0,5,48,0
"64",9572,0.586776859504132,0.55,1,0,0,0,1,1,0,0,0,0,0,3,2,0,0,1,0,0,0,98,0
"65",5878,0.2,0.865,1,0,1,1,0,2,0,0,0,1,0,10,2,0,0,1,0,0,2,142,1
"66",25695,0.132558139534884,0.855,0,0,0,1,0,3,0,1,0,0,0,4,7,0,0,1,0,0,4,13,0
"67",9645,0.117259552042161,0.91,1,0,1,1,0,2,0,0,0,1,0,15,3,0,0,0,0,0,5,47,0
"68",12730,0.117259552042161,0.91,0,1,1,1,0,3,0,1,0,0,0,14,4,0,0,0,1,0,1,28,0
"69",20970,0.140350877192982,0.666,1,0,1,1,0,2,0,0,0,1,0,21,3,0,0,0,0,0,4,22,0
"70",17271,0.59053343350864,0.624,1,0,0,0,1,2,0,0,0,1,0,0,2,0,0,1,0,0,0,18,1
"71",12731,0.127659574468085,0.827,1,0,1,1,0,2,0,0,0,1,0,2,1,0,0,1,0,0,1,29,0
"72",10908,0.132558139534884,0.855,1,0,1,1,0,3,0,0,0,1,0,5,3,0,0,0,0,0,1,46,0
"73",29117,0.586776859504132,0.55,1,0,0,0,1,2,0,0,0,1,0,0,2,0,0,1,0,0,0,12,0
"74",3686,0.214401481824496,0.92,0,1,1,1,0,2,0,0,0,1,0,5,3,0,0,1,0,0,2,17,0
"75",22683,0.0822784810126582,0.893,1,0,1,1,0,3,0,0,0,1,0,5,2,0,0,1,0,0,2,65,0
"76",22134,0.214401481824496,0.92,1,0,0,1,0,2,0,1,0,0,0,3,3,0,0,1,0,0,1,35,0
"77",31765,0.132558139534884,0.855,1,0,0,0,1,2,0,0,0,1,0,9,7,0,0,1,0,0,3,14,0
"78",31449,0.214401481824496,0.92,0,1,1,1,0,3,0,0,0,1,0,2,0,0,1,0,0,0,1,4,0
"79",5987,0.214401481824496,0.92,1,0,1,1,0,2,0,0,0,1,0,15,2,0,0,1,0,0,5,12,0
"80",21762,0.234803337306317,0.92,1,0,1,1,0,2,0,0,0,1,0,21,2,0,0,1,0,0,2,108,0
"81",22070,0.214401481824496,0.92,1,0,0,1,0,2,0,0,0,1,0,21,3,0,0,0,0,0,1,136,0
"82",25413,0.214401481824496,0.92,1,0,1,1,0,2,0,0,0,1,0,5,1,0,0,0,0,0,1,27,0
"83",5902,0.111111111111111,0.796,1,0,1,0,0,3,0,0,0,1,0,4,2,1,0,0,0,0,1,74,0
"84",28403,0.14828897338403,0.884,1,0,1,1,0,2,0,0,0,1,0,15,1,0,1,0,0,0,1,86,0
"85",30937,0.128712871287129,0.866,0,1,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,2,83,0
"86",28751,0.214401481824496,0.92,1,0,0,0,1,1,0,0,0,0,0,4,3,0,0,0,0,0,3,75,0
"87",29290,0.22,0.698,1,0,0,0,1,3,0,0,0,1,0,11,3,0,0,0,1,0,2,42,0
"88",32401,0.214401481824496,0.92,0,1,1,1,0,2,0,0,0,1,0,6,3,0,0,1,0,0,1,332,0
"89",19128,0.0918367346938776,0.913,1,0,0,0,1,2,0,0,0,1,0,4,3,0,0,0,0,0,1,140,0
"90",29036,0.117259552042161,0.91,1,0,0,1,0,1,0,0,0,0,0,3,3,0,0,1,0,0,0,182,0
"91",16869,0.214401481824496,0.92,0,1,0,1,0,2,0,1,0,0,0,3,3,0,0,1,0,0,1,13,1
"92",10497,0.38135593220339,0.682,1,0,1,1,0,2,0,0,0,1,0,5,1,0,0,1,0,0,2,172,1
"93",18099,0.214401481824496,0.92,0,1,1,1,0,2,0,0,0,1,0,10,3,0,0,0,0,1,1,48,0
"94",12081,0.137931034482759,0.802,1,0,1,0,1,2,0,0,0,1,0,9,2,0,0,1,0,0,1,33,0
"95",7364,0.234803337306317,0.92,1,0,0,0,1,1,0,0,0,0,0,2,3,0,0,1,0,0,1,142,0
"96",11184,0.52,0.579,1,0,0,0,1,2,0,0,0,1,0,2,3,0,0,1,0,0,1,34,0
"97",7016,0.137931034482759,0.802,1,0,1,1,0,2,0,0,0,1,0,6,2,0,0,1,0,0,2,14,1
"98",8695,0.586776859504132,0.55,1,0,1,1,0,2,0,0,0,1,0,6,1,0,0,1,0,0,2,27,1
"99",6172,0.586776859504132,0.55,1,0,1,1,0,2,0,0,0,1,0,8,3,0,0,1,0,0,1,24,1
"100",14672,0.12751677852349,0.878,1,0,0,1,0,3,0,0,0,1,0,21,3,0,0,0,0,0,1,150,0
"101",18257,0.214401481824496,0.92,0,1,1,1,0,2,0,0,0,1,0,11,4,0,0,0,0,1,5,20,0
"102",24493,0.214401481824496,0.92,1,0,1,1,0,2,0,0,0,1,0,5,4,0,0,0,0,0,1,140,0
"103",1180,0.117259552042161,0.91,1,0,1,1,0,2,0,0,0,1,0,12,6,0,0,1,0,0,1,52,0
"104",28627,0.102310231023102,0.939,1,0,1,1,0,2,0,0,0,1,0,21,2,0,0,1,0,0,2,160,0
"105",8168,0.105902777777778,0.897,1,0,1,1,0,3,0,0,0,1,0,9,6,0,0,1,0,0,2,3,0
"106",10473,0.59053343350864,0.624,1,0,1,1,0,2,0,0,0,1,0,2,0,0,0,1,0,0,2,2,1
"107",25349,0.117259552042161,0.91,1,0,1,1,0,2,0,0,0,1,0,21,5,0,0,1,0,0,5,28,0
"108",5220,0.264285714285714,0.754,1,0,1,1,0,2,0,0,0,0,1,21,3,0,0,0,0,0,4,46,0
"109",4789,0.132558139534884,0.855,1,0,1,1,0,2,0,0,0,1,0,8,2,0,0,1,0,0,1,210,0
"110",11338,0.100226073850791,0.926,1,0,1,1,0,2,0,0,0,1,0,10,0,0,0,1,0,0,1,36,0
"111",27963,0.10126582278481,0.949,1,0,0,0,1,2,0,0,0,1,0,4,3,0,0,0,0,0,1,160,1
"112",8571,0.59053343350864,0.624,1,0,1,0,1,2,0,0,0,1,0,2,1,0,0,0,0,1,2,101,0
"113",16303,0.100226073850791,0.926,1,0,1,1,0,3,0,0,0,1,0,6,2,0,0,0,0,0,1,46,0
"114",20576,0.0792079207920792,0.925,1,0,1,1,0,2,0,0,0,1,0,21,5,0,0,1,0,0,5,19,0
"115",32966,0.59053343350864,0.624,1,0,1,1,0,2,0,0,0,1,0,3,3,0,0,1,0,0,2,26,1
"116",21199,0.307291666666667,0.698,1,0,1,0,1,2,0,0,0,1,0,7,0,0,0,0,0,1,1,90,0
"117",18819,0.107913669064748,0.896,1,0,1,1,0,2,0,0,0,1,0,9,0,0,0,1,0,0,4,59,0
"118",14199,0.234803337306317,0.92,1,0,1,0,0,2,0,0,1,0,0,10,2,1,0,0,0,0,1,260,0
"119",7666,0.59053343350864,0.624,0,1,1,1,0,2,0,0,0,1,0,11,2,0,0,1,0,0,5,74,0
"120",13915,0.117259552042161,0.91,1,0,1,1,0,4,0,0,0,1,0,21,3,0,0,1,0,0,2,20,1
"121",10555,0.12751677852349,0.878,1,0,1,1,0,2,0,0,0,1,0,12,3,0,0,1,0,0,2,8,0
"122",16040,0.214401481824496,0.92,1,0,1,1,0,2,0,0,0,1,0,6,3,0,0,1,0,0,1,131,0
"123",32826,0.0840336134453782,0.836,1,0,1,0,1,3,0,0,0,1,0,7,3,0,0,1,0,0,1,45,0
"124",13253,0,0.693,1,0,1,0,1,2,0,0,0,1,0,11,1,0,0,1,0,0,2,109,0
"125",15637,0.132558139534884,0.855,1,0,1,1,0,2,0,1,0,0,0,3,3,0,0,1,0,0,1,70,0
"126",28074,0.214401481824496,0.92,0,1,1,1,0,2,0,0,0,1,0,21,3,0,0,0,0,1,5,17,0
"127",23012,0.214401481824496,0.92,0,1,0,1,0,3,0,0,0,1,0,15,2,0,0,1,0,0,1,51,0
"128",16110,0.214401481824496,0.92,0,1,1,1,0,2,0,0,0,1,0,6,2,0,0,1,0,0,3,60,1
"129",3921,0.0822784810126582,0.893,1,0,0,1,0,4,0,0,0,1,0,21,5,0,0,0,1,0,5,4,0
"130",24530,0.100226073850791,0.926,1,0,0,1,0,2,0,0,0,1,0,12,3,0,0,1,0,0,5,7,0
"131",1924,0.173333333333333,0.804,0,1,1,1,0,3,0,0,0,1,0,21,3,0,0,1,0,0,3,164,0
"132",32776,0.140350877192982,0.666,1,0,1,1,0,2,0,0,0,1,0,20,3,0,0,0,0,0,4,290,0
"133",1907,0.173333333333333,0.804,1,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,145,0
"134",3116,0.59053343350864,0.624,1,0,0,1,0,1,0,0,0,1,0,3,2,0,0,1,0,0,1,24,0
"135",24829,0.214401481824496,0.92,1,0,0,1,0,3,0,1,0,0,0,3,7,0,0,1,0,0,1,133,1
"136",30488,0.586776859504132,0.55,1,0,0,0,1,2,0,0,0,1,0,2,2,0,0,1,0,0,1,20,0
"137",1265,0.214401481824496,0.92,1,0,1,1,0,2,0,0,0,1,0,10,0,1,0,0,0,0,1,76,0
"138",22098,0.307291666666667,0.698,0,1,0,0,1,3,0,0,0,1,0,5,3,0,0,0,0,0,4,21,1
"139",13342,0.59053343350864,0.624,0,1,1,1,0,2,0,0,0,0,1,8,6,0,0,1,0,0,2,34,0
"140",24608,0.234803337306317,0.92,1,0,0,1,0,2,0,0,0,1,0,9,0,0,0,1,0,0,2,15,0
"141",20081,0.128712871287129,0.866,1,0,0,1,0,2,0,0,0,1,0,21,3,0,0,1,0,0,5,156,0
"142",24796,0.214401481824496,0.92,1,0,1,1,0,2,0,0,0,1,0,21,6,0,0,1,0,0,5,15,0
"143",7777,0.100226073850791,0.926,1,0,1,1,0,3,0,0,0,1,0,21,3,0,0,0,0,0,0,120,0
"144",22718,0.136363636363636,0.769,1,0,1,1,0,2,0,0,0,0,0,14,7,0,0,1,0,0,5,47,0
"145",1261,0.264285714285714,0.754,1,0,1,1,0,2,0,0,0,1,0,12,2,0,0,0,0,0,2,100,1
"146",3396,0.132558139534884,0.855,1,0,1,0,0,2,0,0,0,1,0,6,4,0,0,1,0,0,0,102,0
"147",4283,0.214401481824496,0.92,1,0,0,1,0,1,0,0,0,0,0,4,3,0,0,1,0,0,0,52,0
"148",18998,0.100226073850791,0.926,1,0,1,1,0,1,0,0,0,0,0,9,1,0,0,1,0,0,4,39,0
"149",2003,0.214401481824496,0.92,1,0,1,0,1,1,0,0,0,0,0,4,2,0,0,1,0,0,1,112,1
"150",31786,0.214401481824496,0.92,1,0,0,1,0,4,0,0,0,1,0,21,2,0,0,1,0,0,5,14,0
"151",12154,0.117259552042161,0.91,1,0,1,1,0,3,1,0,0,0,0,21,5,0,0,0,0,1,5,55,0
"152",23455,0.59053343350864,0.624,1,0,1,1,0,2,0,0,0,1,0,6,7,0,0,1,0,0,4,49,1
"153",19882,0.117259552042161,0.91,1,0,1,1,0,2,0,0,0,1,0,15,3,0,0,0,0,0,5,72,0
"154",28817,0.238805970149254,0.925,1,0,1,0,1,2,0,0,0,1,0,14,6,0,0,1,0,0,3,141,1
"155",4656,0.100226073850791,0.926,1,0,0,1,0,1,0,0,0,0,0,6,2,0,0,1,0,0,0,28,0
"156",7280,0.214401481824496,0.92,1,0,1,1,0,2,0,0,0,1,0,13,7,0,0,1,0,0,1,6,0
"157",16903,0.214401481824496,0.92,1,0,1,1,0,2,0,0,0,0,0,17,6,0,0,1,0,0,1,125,0
"158",13333,0.102310231023102,0.939,1,0,1,1,0,2,0,0,0,1,0,21,3,0,0,0,0,0,0,326,0
"159",26241,0.214401481824496,0.92,1,0,1,1,0,2,0,0,0,0,1,21,3,0,0,1,0,0,2,33,0
"160",12381,0.173333333333333,0.804,1,0,0,1,0,3,0,0,0,1,0,6,7,0,0,1,0,0,5,40,0
"161",4064,0.234803337306317,0.92,1,0,1,1,0,2,0,0,0,1,0,18,2,0,0,0,0,0,1,198,1
"162",32092,0.214401481824496,0.92,0,1,1,1,0,3,0,0,0,1,0,15,7,0,0,1,0,0,5,55,0
"163",3766,0.222222222222222,0.698,1,0,0,1,0,2,0,0,0,1,0,21,4,0,0,1,0,0,5,32,0
"164",30496,0.214401481824496,0.92,1,0,1,1,0,2,1,0,0,0,0,21,3,0,0,1,0,0,5,11,0
"165",7189,0.264285714285714,0.754,1,0,1,1,0,2,0,0,0,1,0,21,0,0,0,1,0,0,1,41,0
"166",29497,0.214401481824496,0.92,1,0,1,1,0,3,0,0,0,1,0,21,7,0,0,0,1,0,5,87,1
"167",31593,0.132558139534884,0.855,1,0,1,1,0,3,0,0,0,1,0,10,3,0,0,1,0,0,4,114,0
"168",11986,0.307291666666667,0.698,1,0,1,0,0,3,0,0,0,1,0,5,0,0,1,0,0,0,1,15,0
"169",31033,0.117259552042161,0.91,1,0,0,0,1,1,0,0,0,0,0,3,2,0,0,1,0,0,1,8,0
"170",14835,0.12751677852349,0.878,0,1,1,0,0,1,0,0,0,0,0,2,3,0,0,0,0,1,1,22,0
"171",3728,0.214401481824496,0.92,1,0,1,1,0,3,0,0,0,1,0,21,6,0,0,1,0,0,4,13,0
"172",3024,0.10126582278481,0.949,1,0,1,1,0,2,0,0,0,1,0,21,0,0,0,0,1,0,1,246,0
"173",23508,0.214401481824496,0.92,1,0,1,1,0,3,0,0,0,1,0,9,1,0,0,1,0,0,1,22,0
"174",29457,0.214401481824496,0.92,1,0,1,1,0,3,0,0,0,1,0,21,0,1,0,0,0,0,1,81,0
"175",12297,0.214285714285714,0.776,1,0,1,0,1,2,0,0,0,1,0,4,1,1,0,0,0,0,1,11,0
"176",27708,0.384615384615385,0.698,1,0,0,0,1,2,0,0,0,1,0,5,6,0,0,0,0,0,1,24,1
"177",3065,0.214401481824496,0.92,1,0,1,1,0,2,0,0,0,1,0,21,3,1,0,0,0,0,1,50,0
"178",29226,0.0945945945945946,0.924,1,0,0,0,1,1,0,0,0,0,0,6,2,0,0,1,0,0,0,15,0
"179",5493,0.078125,0.939,1,0,1,1,0,3,0,0,0,1,0,21,1,0,0,1,0,0,5,31,0
"180",2891,0.100226073850791,0.926,1,0,1,1,0,3,0,0,0,1,0,21,2,0,0,1,0,0,0,84,0
"181",32509,0.105902777777778,0.897,1,0,1,0,0,2,0,0,0,1,0,4,7,0,0,1,0,0,1,42,0
"182",31841,0.59053343350864,0.624,1,0,1,1,0,2,0,0,0,1,0,10,1,0,0,1,0,0,5,105,1
"183",907,0.214401481824496,0.92,0,1,1,1,0,2,0,0,0,1,0,21,2,0,0,1,0,0,5,72,0
"184",29526,0.388888888888889,0.789,1,0,1,1,0,2,0,0,0,1,0,14,1,0,0,1,0,0,5,42,1
"185",10956,0.384615384615385,0.698,1,0,1,1,0,2,0,0,0,1,0,15,2,0,1,0,0,0,1,152,0
"186",26099,0.214401481824496,0.92,1,0,1,1,0,2,0,0,0,1,0,12,7,0,0,1,0,0,1,60,0
"187",26163,0.59053343350864,0.624,1,0,0,0,1,3,0,0,0,1,0,2,2,0,0,0,0,0,0,8,0
"188",4120,0.117259552042161,0.91,1,0,0,0,1,3,0,0,0,1,0,13,3,0,0,0,0,0,3,17,1
"189",7335,0.160839160839161,0.923,1,0,0,1,0,1,0,0,0,0,0,1,2,0,0,1,0,0,1,33,0
"190",706,0.117259552042161,0.91,1,0,1,1,0,3,0,0,0,1,0,4,3,1,0,0,0,0,0,38,0
"191",9890,0.214401481824496,0.92,1,0,1,1,0,2,0,1,0,0,0,14,0,0,1,0,0,0,2,178,0
"192",32683,0.234803337306317,0.92,1,0,1,1,0,2,0,0,0,1,0,15,2,0,0,1,0,0,1,11,0
"193",27104,0.0822784810126582,0.893,1,0,1,1,0,1,0,0,0,0,0,21,3,0,0,1,0,0,0,87,0
"194",7731,0.137931034482759,0.802,1,0,1,1,0,2,0,0,0,1,0,13,2,0,0,0,0,0,0,84,0
"195",31943,0.14828897338403,0.884,1,0,1,1,0,2,0,0,0,1,0,21,3,0,1,0,0,0,2,32,0
"196",22899,0.235294117647059,0.887,0,1,1,1,0,3,0,0,0,1,0,9,3,0,0,1,0,0,1,31,1
"197",33339,0.59053343350864,0.624,1,0,0,1,0,2,0,0,0,1,0,2,4,0,0,0,1,0,1,39,0
"198",20866,0.3,0.775,0,1,1,1,0,2,0,0,0,1,0,7,1,0,0,1,0,0,1,12,0
"199",21634,0.59053343350864,0.624,1,0,1,0,1,2,0,0,0,1,0,5,7,0,0,1,0,0,1,50,0
"200",29529,0.215189873417722,0.903,1,0,1,1,0,2,0,0,0,1,0,3,3,0,0,1,0,0,1,55,1
"201",4478,0.586776859504132,0.55,1,0,1,1,0,2,0,0,0,1,0,5,2,0,0,1,0,0,1,7,1
"202",32095,0.214401481824496,0.92,1,0,1,1,0,3,0,1,0,0,0,2,2,0,1,0,0,0,1,104,0
"203",18272,0.234803337306317,0.92,1,0,1,0,1,2,0,0,1,0,0,21,2,0,0,1,0,0,5,90,1
"204",30098,0.214401481824496,0.92,1,0,1,1,0,3,0,0,0,0,1,21,3,0,0,1,0,0,5,8,0
"205",23825,0.59053343350864,0.624,1,0,0,0,1,2,0,0,0,1,0,2,2,0,0,0,0,0,0,102,0
"206",7672,0.59053343350864,0.624,1,0,1,1,0,3,0,0,0,1,0,0,1,0,0,1,0,0,1,202,1
"207",5633,0.587301587301587,0.555,0,0,1,1,0,2,0,0,0,1,0,4,3,0,0,1,0,0,1,22,0
"208",30695,0.59053343350864,0.624,1,0,0,0,1,2,0,0,0,1,0,3,3,0,0,1,0,0,0,42,0
"209",5573,0.234803337306317,0.92,1,0,0,1,0,0,0,0,0,0,0,4,2,0,0,1,0,0,0,50,0
"210",24936,0.59053343350864,0.624,1,0,1,1,0,3,0,0,0,1,0,3,2,1,0,0,0,0,1,88,0
"211",397,0.264285714285714,0.754,0,1,1,1,0,2,0,0,0,1,0,5,5,0,0,1,0,0,4,81,0
"212",31602,0.214401481824496,0.92,1,0,1,1,0,3,0,0,0,1,0,21,7,0,0,1,0,0,1,7,0
"213",5278,0.59053343350864,0.624,1,0,0,1,0,2,0,0,0,1,0,3,3,0,0,1,0,0,0,218,0
"214",16814,0.117259552042161,0.91,1,0,1,1,0,2,0,0,0,1,0,21,7,0,0,1,0,0,5,62,0
"215",19249,0.214401481824496,0.92,1,0,1,1,0,2,0,0,0,1,0,6,2,0,0,1,0,0,1,83,0
"216",9475,0.078125,0.939,1,0,1,1,0,2,0,0,0,1,0,9,5,0,0,1,0,0,5,11,0
"217",4865,0.100226073850791,0.926,1,0,0,0,0,4,0,0,0,1,0,21,2,0,0,0,0,0,5,10,0
"218",20881,0.078125,0.939,1,0,1,1,0,3,0,0,0,1,0,10,5,0,0,1,0,0,1,114,0
"219",21563,0.59053343350864,0.624,1,0,1,1,0,3,0,0,0,1,0,3,2,0,0,1,0,0,1,36,0
"220",25114,0.173333333333333,0.804,1,0,0,0,1,3,0,0,0,1,0,6,1,0,0,1,0,0,1,17,0
"221",26002,0.117259552042161,0.91,1,0,0,0,1,2,0,0,0,1,0,2,3,0,0,0,0,0,0,80,1
"222",8528,0.234803337306317,0.92,1,0,1,0,0,2,0,0,0,1,0,21,2,0,0,0,1,0,5,108,0
"223",6141,0.214401481824496,0.92,1,0,1,1,0,2,0,0,0,1,0,2,3,0,0,1,0,0,2,45,0
"224",27667,0.214401481824496,0.92,1,0,0,0,1,2,0,0,0,1,0,5,3,0,0,0,0,0,0,77,0
"225",2821,0.100226073850791,0.926,1,0,1,1,0,3,0,0,0,1,0,15,3,0,0,1,0,0,2,8,0
"226",21216,0.12751677852349,0.878,1,0,0,1,0,2,0,0,0,1,0,5,3,0,0,1,0,0,1,28,0
"227",25495,0.288461538461538,0.727,0,1,1,1,0,2,0,0,0,1,0,9,3,1,0,0,0,0,5,37,0
