"","enrollee_id","city","city_development_index","gender","relevent_experience","enrolled_university","education_level","major_discipline","experience","company_size","company_type","last_new_job","training_hours","target"
"73",12731,"13",0.827,"M","Y","None","Graduate","STEM","2","10-49","Pvt Ltd","1",29,"0"
"74",10908,"67",0.855,"M","Y","None","Masters","STEM","5","100-500",NA,"1",46,"0"
"75",29117,"11",0.55,NA,"N","Full-Time","Graduate","STEM","<1",NA,NA,"never",12,"0"
"76",3686,"103",0.92,NA,"Y","None","Graduate","STEM","5","100-500","Pvt Ltd","2",17,"0"
"77",22683,"36",0.893,"M","Y","None","Masters","STEM","5","50-99","Pvt Ltd","2",65,"0"
"78",22134,"103",0.92,"M","N","None","Graduate","Humanities","3","100-500","Pvt Ltd","1",35,"0"
"79",31765,"67",0.855,"M","N","Full-Time","Graduate","STEM","9","10000+","Pvt Ltd","3",14,"0"
"80",31449,"103",0.92,"F","Y","None","Masters","STEM","2","<10","Early Stage Startup","1",4,"0"
"81",5987,"103",0.92,"M","Y","None","Graduate","STEM","15","50-99","Pvt Ltd",">4",12,"0"
"82",21762,"160",0.92,"M","Y","None","Graduate","STEM",">20","50-99","Pvt Ltd","2",108,"0"
"83",22070,"103",0.92,"M","N","None","Graduate","STEM",">20",NA,NA,"1",136,"0"
"84",25413,"103",0.92,"M","Y","None","Graduate","STEM","5","10-49",NA,"1",27,"0"
"85",5902,"20",0.796,NA,"Y","Part-Time","Masters","STEM","4","50-99","Funded Startup","1",74,"0"
"86",28403,"71",0.884,"M","Y","None","Graduate","STEM","15","10-49","Early Stage Startup","1",86,"0"
"87",30937,"57",0.866,"F","N","Part-Time","Graduate","STEM","<1","10-49","Pvt Ltd","2",83,"0"
"88",28751,"103",0.92,NA,"N","Full-Time","High School","None","4",NA,NA,"3",75,"0"
"89",29290,"152",0.698,"M","N","Full-Time","Masters","STEM","11",NA,"Public Sector","2",42,"0"
"90",32401,"103",0.92,"F","Y","None","Graduate","STEM","6","100-500",NA,"1",332,"0"
"91",19128,"61",0.913,"M","N","Full-Time","Graduate","STEM","4",NA,NA,NA,140,"0"
"92",29036,"16",0.91,"M","N","None","High School","None","3",NA,NA,"never",182,"0"
"93",16869,"103",0.92,"F","N","None","Graduate","Humanities","3","100-500","Pvt Ltd","1",13,"1"
"94",10497,"19",0.682,NA,"Y","None","Graduate","STEM","5","10-49","Pvt Ltd","2",172,"1"
"95",18099,"103",0.92,NA,"Y","None","Graduate","STEM","10","100-500","NGO","1",48,"0"
"96",12081,"65",0.802,"M","Y","Full-Time","Graduate","STEM","9","50-99","Pvt Ltd","1",33,"0"
"97",7364,"160",0.92,NA,"N","Full-Time","High School","None","2","100-500","Pvt Ltd","1",142,"0"
"98",11184,"74",0.579,NA,"N","Full-Time","Graduate","STEM","2","100-500","Pvt Ltd","1",34,"0"
"99",7016,"65",0.802,"M","Y","None","Graduate","STEM","6","50-99","Pvt Ltd","2",14,"1"
"100",8695,"11",0.55,"M","Y","None","Graduate","STEM","6","10-49","Pvt Ltd","2",27,"1"
"101",6172,"11",0.55,"M","Y","None","Graduate","STEM","8","100-500","Pvt Ltd","1",24,"1"
"102",14672,"173",0.878,NA,"N","None","Masters","STEM",">20",NA,NA,"1",150,"0"
"103",18257,"103",0.92,"F","Y","None","Graduate","STEM","11","500-999","NGO",">4",20,"0"
"104",24493,"103",0.92,NA,"Y","None","Graduate","STEM","5","500-999",NA,"1",140,"0"
"105",1180,"16",0.91,"M","Y","None","Graduate","STEM","12","5000-9999","Pvt Ltd","1",52,"0"
"106",28627,"75",0.939,"M","Y","None","Graduate","STEM",">20","50-99","Pvt Ltd","2",160,"0"
"107",8168,"136",0.897,"M","Y","None","Masters","STEM","9","5000-9999","Pvt Ltd","2",3,"0"
"108",10473,"21",0.624,"M","Y","None","Graduate","STEM","2","<10","Pvt Ltd","2",2,"1"
"109",25349,"16",0.91,"M","Y","None","Graduate","STEM",">20","1000-4999","Pvt Ltd",">4",28,"0"
"110",5220,"73",0.754,"M","Y","None","Graduate","Other",">20",NA,NA,"4",46,"0"
"111",4789,"67",0.855,"M","Y","None","Graduate","STEM","8","50-99","Pvt Ltd","1",210,"0"
"112",11338,"114",0.926,"M","Y","None","Graduate","STEM","10","<10","Pvt Ltd","1",36,"0"
"113",27963,"98",0.949,"M","N","Full-Time","Graduate","STEM","4",NA,NA,"1",160,"1"
"114",8571,"21",0.624,"M","Y","Full-Time","Graduate","STEM","2","10-49","NGO","2",101,"0"
"115",16303,"114",0.926,"M","Y","None","Masters","STEM","6","50-99",NA,"1",46,"0"
"116",20576,"97",0.925,"M","Y","None","Graduate","STEM",">20","1000-4999","Pvt Ltd",">4",19,"0"
"117",32966,"21",0.624,"M","Y","None","Graduate","STEM","3","100-500","Pvt Ltd","2",26,"1"
"118",21199,"90",0.698,NA,"Y","Full-Time","Graduate","STEM","7","<10","NGO","1",90,"0"
"119",18819,"50",0.896,"M","Y","None","Graduate","STEM","9","<10","Pvt Ltd","4",59,"0"
"120",14199,"160",0.92,"M","Y","Part-Time","Graduate","Business","10","50-99","Funded Startup","1",260,"0"
"121",7666,"21",0.624,"F","Y","None","Graduate","STEM","11","50-99","Pvt Ltd",">4",74,"0"
"122",13915,"16",0.91,"M","Y","None","Phd","STEM",">20","100-500","Pvt Ltd","2",20,"1"
"123",10555,"173",0.878,"M","Y","None","Graduate","STEM","12","100-500","Pvt Ltd","2",8,"0"
"124",16040,"103",0.92,"M","Y","None","Graduate","STEM","6","100-500","Pvt Ltd","1",131,"0"
"125",32826,"138",0.836,"M","Y","Full-Time","Masters","STEM","7",NA,NA,"1",45,"0"
"126",13253,"82",0.693,"M","Y","Full-Time","Graduate","STEM","11","10-49","Pvt Ltd","2",109,"0"
"127",15637,"67",0.855,"M","Y","None","Graduate","Humanities","3","100-500","Pvt Ltd","1",70,"0"
"128",28074,"103",0.92,"F","Y","None","Graduate","STEM",">20","100-500","NGO",">4",17,"0"
"129",23012,"103",0.92,"F","N","None","Masters","STEM","15","50-99","Pvt Ltd","1",51,"0"
"130",16110,"103",0.92,"F","Y","None","Graduate","STEM","6","50-99","Pvt Ltd","3",60,"1"
"131",3921,"36",0.893,NA,"N","None","Phd","STEM",">20","1000-4999","Public Sector",">4",4,"0"
"132",24530,"114",0.926,"M","N","None","Graduate","STEM","12","100-500","Pvt Ltd",">4",7,"0"
"133",1924,"102",0.804,NA,"Y","None","Masters","STEM",">20","100-500","Pvt Ltd","3",164,"0"
"134",32776,"64",0.666,"M","Y","None","Graduate","STEM","20",NA,NA,"4",290,"0"
"135",1907,"102",0.804,"M","N","None","High School","None","2","<10","NGO","never",145,"0"
"136",23947,"103",0.92,NA,"N","None","Phd","STEM",NA,NA,NA,NA,70,"0"
"137",3116,"21",0.624,"M","N","None",NA,NA,"3",NA,NA,"1",24,"0"
"138",24829,"103",0.92,"M","N","None","Masters","Humanities","3","10000+","Pvt Ltd","1",133,"1"
"139",30488,"11",0.55,NA,"N","Full-Time","Graduate","STEM","2",NA,NA,"1",20,"0"
"140",1265,"103",0.92,"M","Y","None","Graduate","STEM","10","<10","Funded Startup","1",76,"0"
"141",22098,"90",0.698,"F","N","Full-Time","Masters","STEM","5",NA,NA,"4",21,"1"
"142",13342,"21",0.624,"F","Y","None","Graduate","Other","8","5000-9999","Pvt Ltd","2",34,"0"
"143",24608,"160",0.92,"M","N","None","Graduate","STEM","9","<10","Pvt Ltd","2",15,"0"
"144",20081,"57",0.866,"M","N","None","Graduate","STEM",">20",NA,NA,">4",156,"0"
"145",24796,"103",0.92,"M","Y","None","Graduate","STEM",">20","5000-9999","Pvt Ltd",">4",15,"0"
"146",7777,"114",0.926,NA,"Y","None","Masters","STEM",">20",NA,NA,"never",120,"0"
"147",22718,"157",0.769,NA,"Y","None","Graduate","None","14","10000+",NA,">4",47,"0"
"148",1261,"73",0.754,"M","Y","None","Graduate","STEM","12",NA,NA,"2",100,"1"
"149",3396,"67",0.855,"M","Y","Part-Time","Graduate","STEM","6","500-999","Pvt Ltd","never",102,"0"
"150",4283,"103",0.92,"M","N","None","High School","None","4",NA,NA,"never",52,"0"
"151",18998,"114",0.926,NA,"Y","None","High School","None","9","10-49",NA,"4",39,"0"
"152",2003,"103",0.92,"M","Y","Full-Time","High School","None","4",NA,NA,"1",112,"1"
"153",31786,"103",0.92,"M","N","None","Phd","STEM",">20","50-99","Pvt Ltd",">4",14,"0"
"154",8241,"16",0.91,NA,"Y","None",NA,NA,"11",NA,NA,"1",4,"0"
"155",12154,"16",0.91,NA,"Y","None","Masters","Arts",">20","1000-4999","NGO",">4",55,"0"
"156",23455,"21",0.624,"M","Y","None","Graduate","STEM","6","10000+","Pvt Ltd","4",49,"1"
"157",19882,"16",0.91,"M","Y","None","Graduate","STEM","15",NA,NA,">4",72,"0"
"158",28817,"89",0.925,"M","Y","Full-Time","Graduate","STEM","14","5000-9999","Pvt Ltd","3",141,"1"
"159",4656,"114",0.926,"M","N","None","High School","None","6",NA,"Pvt Ltd","never",28,"0"
"160",7280,"103",0.92,"M","Y","None","Graduate","STEM","13","10000+","Pvt Ltd","1",6,"0"
"161",16903,"103",0.92,"M","Y","None","Graduate","None","17","5000-9999","Pvt Ltd","1",125,"0"
"162",13333,"75",0.939,NA,"Y","None","Graduate","STEM",">20",NA,NA,"never",326,"0"
"163",26241,"103",0.92,"M","Y","None","Graduate","Other",">20","100-500","Pvt Ltd","2",33,"0"
"164",12381,"102",0.804,NA,"N","None","Masters","STEM","6","10000+","Pvt Ltd",">4",40,"0"
"165",4064,"160",0.92,NA,"Y","None","Graduate","STEM","18",NA,NA,"1",198,"1"
"166",32092,"103",0.92,"F","Y","None","Masters","STEM","15","10000+","Pvt Ltd",">4",55,"0"
"167",3766,"150",0.698,"M","N","None","Graduate","STEM",">20","500-999","Pvt Ltd",">4",32,"0"
"168",30496,"103",0.92,"M","Y","None","Graduate","Arts",">20","100-500","Pvt Ltd",">4",11,"0"
"169",7189,"73",0.754,"M","Y","None","Graduate","STEM",">20","<10","Pvt Ltd","1",41,"0"
"170",29497,"103",0.92,"M","Y","None","Masters","STEM",">20","10000+","Public Sector",">4",87,"1"
"171",31593,"67",0.855,"M","Y","None","Masters","STEM","10","100-500","Pvt Ltd","4",114,"0"
"172",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"173",11986,"90",0.698,"M","Y","Part-Time","Masters","STEM","5","<10","Early Stage Startup","1",15,"0"
"174",31033,"16",0.91,NA,"N","Full-Time","High School","None","3",NA,NA,"1",8,"0"
"175",14835,"173",0.878,"F","Y","Part-Time","High School","None","2","100-500","NGO","1",22,"0"
"176",3728,"103",0.92,"M","Y","None","Masters","STEM",">20","5000-9999","Pvt Ltd","4",13,"0"
"177",3024,"98",0.949,"M","Y","None","Graduate","STEM",">20","<10","Public Sector","1",246,"0"
"178",23508,"103",0.92,"M","Y","None","Masters","STEM","9","10-49","Pvt Ltd","1",22,"0"
"179",29457,"103",0.92,"M","Y","None","Masters","STEM",">20","<10","Funded Startup","1",81,"0"
"180",12297,"175",0.776,NA,"Y","Full-Time","Graduate","STEM","4","10-49","Funded Startup","1",11,"0"
"181",27708,"94",0.698,"M","N","Full-Time","Graduate","STEM","5","5000-9999",NA,NA,24,"1"
"182",3065,"103",0.92,"M","Y","None","Graduate","STEM",">20","100-500","Funded Startup","1",50,"0"
"183",29226,"104",0.924,"M","N","Full-Time","High School","None","6",NA,NA,"never",15,"0"
"184",5493,"28",0.939,"M","Y","None","Masters","STEM",">20","10-49","Pvt Ltd",">4",31,"0"
"185",2891,"114",0.926,"M","Y","None","Masters","STEM",">20","50-99","Pvt Ltd","never",84,"0"
"186",32509,"136",0.897,"M","Y","Part-Time","Graduate","STEM","4","10000+","Pvt Ltd","1",42,"0"
"187",31841,"21",0.624,NA,"Y","None","Graduate","STEM","10","10-49","Pvt Ltd",">4",105,"1"
"188",907,"103",0.92,"F","Y","None","Graduate","STEM",">20","50-99","Pvt Ltd",">4",72,"0"
"189",29526,"115",0.789,"M","Y","None","Graduate","STEM","14","10-49","Pvt Ltd",">4",42,"1"
"190",10956,"94",0.698,"M","Y","None","Graduate","STEM","15","50-99","Early Stage Startup","1",152,"0"
"191",26099,"103",0.92,"M","Y","None","Graduate","STEM","12","10000+","Pvt Ltd","1",60,"0"
"192",26163,"21",0.624,"M","N","Full-Time","Masters","STEM","2",NA,NA,"never",8,"0"
"193",4120,"16",0.91,"M","N","Full-Time","Masters","STEM","13",NA,NA,"3",17,"1"
"194",7335,"83",0.923,"M","N","None","High School","None","1",NA,NA,"1",33,"0"
"195",706,"16",0.91,"M","Y","None","Masters","STEM","4","100-500","Funded Startup","never",38,"0"
"196",9890,"103",0.92,"M","Y","None","Graduate","Humanities","14","<10","Early Stage Startup","2",178,"0"
"197",32683,"160",0.92,"M","Y","None","Graduate","STEM","15","50-99","Pvt Ltd","1",11,"0"
"198",27104,"36",0.893,"M","Y","None","High School","None",">20",NA,NA,"never",87,"0"
"199",7731,"65",0.802,"M","Y","None","Graduate","STEM","13",NA,NA,"never",84,"0"
"200",31943,"71",0.884,"M","Y","None","Graduate","STEM",">20","100-500","Early Stage Startup","2",32,"0"
"201",22899,"100",0.887,NA,"Y","None","Masters","STEM","9","100-500","Pvt Ltd","1",31,"1"
"202",33339,"21",0.624,"M","N","None","Graduate","STEM","2","500-999","Public Sector","1",39,"0"
"203",20866,"59",0.775,NA,"Y","None","Graduate","STEM","7","10-49","Pvt Ltd","1",12,"0"
"204",21634,"21",0.624,NA,"Y","Full-Time","Graduate","STEM","5","10000+","Pvt Ltd","1",50,"0"
"205",29529,"165",0.903,"M","Y","None","Graduate","STEM","3","100-500","Pvt Ltd","1",55,"1"
"206",4478,"11",0.55,NA,"Y","None","Graduate","STEM","5","50-99","Pvt Ltd",NA,7,"1"
"207",32095,"103",0.92,"M","Y","None","Masters","Humanities","2","50-99","Early Stage Startup","1",104,"0"
"208",18272,"160",0.92,NA,"Y","Full-Time","Graduate","Business",">20",NA,NA,">4",90,"1"
"209",30098,"103",0.92,"M","Y","None","Masters","Other",">20","100-500","Pvt Ltd",">4",8,"0"
"210",23825,"21",0.624,"M","N","Full-Time","Graduate","STEM","2",NA,NA,"never",102,"0"
"211",7672,"21",0.624,NA,"Y","None","Masters","STEM","<1","10-49","Pvt Ltd","1",202,"1"
"212",5633,"145",0.555,NA,"Y","None","Graduate","STEM","4","100-500","Pvt Ltd","1",22,"0"
"213",30695,"21",0.624,"M","N","Full-Time","Graduate","STEM","3",NA,"Pvt Ltd","never",42,"0"
"214",5573,"160",0.92,NA,"N","None","Primary School","None","4",NA,"Pvt Ltd","never",50,"0"
"215",24936,"21",0.624,"M","Y","None","Masters","STEM","3","50-99","Funded Startup","1",88,"0"
"216",397,"73",0.754,NA,"Y","None","Graduate","STEM","5","1000-4999","Pvt Ltd","4",81,"0"
"217",31602,"103",0.92,"M","Y","None","Masters","STEM",">20","10000+","Pvt Ltd","1",7,"0"
"218",5278,"21",0.624,"M","N","None",NA,NA,"3",NA,"Pvt Ltd","never",218,"0"
"219",16814,"16",0.91,"M","Y","None","Graduate","STEM",">20","10000+","Pvt Ltd",">4",62,"0"
"220",19249,"103",0.92,"M","Y","None","Graduate","STEM","6","50-99","Pvt Ltd","1",83,"0"
"221",9475,"28",0.939,"M","Y","None","Graduate","STEM","9","1000-4999","Pvt Ltd",">4",11,"0"
"222",4865,"114",0.926,"M","N","Part-Time","Phd","STEM",">20","50-99",NA,">4",10,"0"
"223",20881,"28",0.939,"M","Y","None","Masters","STEM","10","1000-4999","Pvt Ltd","1",114,"0"
"224",21563,"21",0.624,NA,"Y","None","Masters","STEM","3","50-99","Pvt Ltd","1",36,"0"
"225",25114,"102",0.804,NA,"N",NA,"Masters","STEM","6","10-49","Pvt Ltd","1",17,"0"
"226",26002,"16",0.91,"M","N","Full-Time","Graduate","STEM","2",NA,NA,"never",80,"1"
"227",8528,"160",0.92,"M","Y","Part-Time","Graduate","STEM",">20","50-99","Public Sector",">4",108,"0"
"228",6141,"103",0.92,"M","Y","None","Graduate","STEM","2","100-500","Pvt Ltd","2",45,"0"
"229",27667,"103",0.92,"M","N","Full-Time","Graduate","STEM","5",NA,NA,"never",77,"0"
"230",2821,"114",0.926,"M","Y","None","Masters","STEM","15","100-500","Pvt Ltd","2",8,"0"
"231",21216,"173",0.878,NA,"N","None","Graduate","STEM","5",NA,NA,"1",28,"0"
"232",25495,"142",0.727,"F","Y","None","Graduate","STEM","9","100-500","Funded Startup",">4",37,"0"
"233",20791,"16",0.91,NA,"N","Full-Time","Graduate","STEM","2",NA,NA,"2",108,"1"
"234",28015,"103",0.92,"M","Y","None","Graduate","STEM","13","500-999","Pvt Ltd","2",162,"0"
"235",10685,"73",0.754,NA,"Y","Full-Time","High School","None","9",NA,NA,">4",41,"0"
"236",405,"165",0.903,"M","Y","None","Masters","STEM","19","100-500","Pvt Ltd","4",4,"0"
"237",13891,"71",0.884,"F","N","None","Phd","STEM","3","1000-4999","Public Sector","1",41,"0"
"238",33050,"165",0.903,NA,"Y","None","Graduate","STEM","17","10000+","Pvt Ltd","2",12,"0"
"239",399,"103",0.92,"M","Y","None","Graduate","STEM",">20","50-99","Pvt Ltd","1",190,"0"
"240",8202,"21",0.624,NA,"Y","None","Graduate","STEM","7","50-99","Pvt Ltd",">4",29,"1"
"241",8751,"103",0.92,"M","Y","None","Graduate","STEM","6","100-500","Public Sector","1",11,"0"
"242",20744,"103",0.92,"M","N","Full-Time","High School","None","3","10000+","Pvt Ltd","1",30,"0"
"243",25380,"103",0.92,"M","Y","None","Masters","STEM","13","100-500",NA,">4",39,"0"
"244",24617,"102",0.804,"M","Y","Full-Time","High School","None","9",NA,NA,"1",16,"0"
"245",12509,"114",0.926,"M","N","None","Graduate","STEM",">20","50-99","Pvt Ltd",">4",5,"0"
"246",25473,"26",0.698,"M","N","Full-Time","High School","None","8",NA,NA,"never",39,"0"
"247",13083,"114",0.926,"M","Y","None","Masters","STEM","10","50-99","Pvt Ltd",">4",29,"0"
"248",12454,"21",0.624,NA,"Y","Full-Time","Masters","STEM","4","50-99","NGO","2",210,"0"
"249",3500,"103",0.92,"Other","N","Part-Time","High School","None","6","50-99","Funded Startup","1",54,"0"
"250",15922,"160",0.92,"M","Y","None","Graduate","STEM","9","50-99","Pvt Ltd","3",44,"0"
"251",6685,"16",0.91,"M","Y","None","Graduate","STEM","15",NA,NA,">4",47,"0"
"252",28838,"103",0.92,"M","Y","None","Graduate","STEM",">20","1000-4999","NGO",">4",74,"0"
"253",24082,"21",0.624,"M","Y","None","Masters","STEM","6","10-49","Pvt Ltd","1",8,"1"
"254",24846,"21",0.624,NA,"N","Full-Time","Graduate","STEM","7",NA,NA,"never",20,"1"
"255",1020,"103",0.92,"M","Y","None","Graduate","STEM","3","500-999","Pvt Ltd","1",162,"0"
"256",6189,"36",0.893,NA,"N","None","Graduate","Business","2","50-99","Pvt Ltd","1",110,"0"
"257",16994,"46",0.762,"Other","Y","Part-Time","High School","None","3","10-49","Pvt Ltd","1",262,"0"
"258",13135,"138",0.836,"M","Y","None","Masters","STEM","14",NA,NA,"1",6,"0"
"259",14578,"64",0.666,"M","Y","Part-Time","Graduate","STEM","9","10-49","Pvt Ltd","1",19,"1"
"260",20732,"64",0.666,"Other","N","None","Graduate","STEM",">20","50-99","Pvt Ltd",">4",23,"1"
"261",16496,"21",0.624,"M","N",NA,"Graduate","STEM","<1",NA,NA,"1",107,"1"
"262",16537,"136",0.897,"M","Y","None","Masters","STEM","15","10000+",NA,">4",134,"0"
"263",17358,"114",0.926,"M","Y","None","Masters","STEM","11","10-49","Early Stage Startup","1",40,"0"
"264",21933,"71",0.884,"M","Y","None","Graduate","STEM","12","50-99","Pvt Ltd","1",11,"0"
"265",7342,"160",0.92,"M","Y","None","Graduate","STEM","11",NA,NA,"3",102,"0"
"266",5630,"21",0.624,"M","N","Full-Time","Graduate","STEM","2",NA,NA,"never",100,"0"
"267",24152,"83",0.923,"M","N","None","Masters","STEM","3","10000+","Pvt Ltd","never",30,"0"
"268",17762,"103",0.92,NA,"N","None","High School","None","5",NA,NA,"1",20,"1"
"269",4310,"103",0.92,NA,"Y","None","Graduate","STEM","14","1000-4999","Pvt Ltd","3",4,"0"
